ppo_delay,fixed_delay,ppo_queue,fixed_queue,ppo_throughput,fixed_throughput,ppo_stops,fixed_stops,ppo_pressure,fixed_pressure
0.20244304988636622,0.8721552046158899,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.19778525630610153,0.8967606198741016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.19032935255430272,0.9213660351323133,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.15724191268356602,0.945971450390525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.16092140824117296,0.9705768656487367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.21652507923437309,0.995144301536126,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.28710992910359473,0.9999489858155604,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.29310042769094946,0.9999992182274383,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.33207931245730654,1.0,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.3093911240870117,1.0,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.2037165941815688,1.0,0.0,0.14285714285714285,2.0,0.0,0.0,1.0,0.0,1.0
0.18973244944883172,1.0,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.1605242994303968,1.0,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.23096895618601673,1.0,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.21834107339787573,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.2002393541855798,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.19569570309986675,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.17659366374813418,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.22475585075706134,1.0,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.2002367292618461,1.0,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.1912645466550208,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.17118121844543985,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.1492513691044764,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.3785021375425914,0.9918232037766566,0.14285714285714285,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,1.0
0.34404699365611396,0.9836747874685962,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.3441742501638447,0.9759270765197148,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.407976400561008,0.9691319997797813,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.3629559805335954,0.9609469677119996,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.31165720104298106,0.9537375591998369,0.0,0.14285714285714285,1.0,0.0,0.0,1.0,0.0,1.0
0.34929575427204157,0.9478157261509954,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.2868449682629689,0.9398982912377323,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
